Price,Close,High,Low,Open,Volume,Return,SMA20,SMA50,Signal,Strategy_Return,Market_Cumulative,Strategy_Cumulative
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,
Date,,,,,,,,,,,,
2023-06-15,183.43832397460938,183.94128262941163,181.23915892536104,181.41667817053525,65433200,0.011198638839292174,175.8852279663086,169.46450317382812,1,0.011198638839292174,1.0309014533174155,0.9465221221225162
2023-06-16,182.36341857910156,184.4048073735327,181.7224110612984,184.14839232814637,101256200,-0.005859764591267136,176.3719039916992,169.88631439208984,1,-0.005859764591267136,1.0248606134841802,0.9409757253064517
2023-06-20,182.45216369628906,183.52710548415504,181.86046794433722,181.86046794433722,49799100,0.00048663881100141637,176.85759353637695,170.29217346191408,1,0.00048663881100141637,1.0253593504345684,0.941433640614596
2023-06-21,181.4166717529297,182.8466218007744,180.06560242478363,182.34366316376426,49515700,-0.005675416078282591,177.33884506225587,170.72912353515625,1,-0.005675416078282591,1.0195400094910947,0.9360906129940159
2023-06-22,184.41465759277344,184.46396933431626,181.13069423738702,181.19973368511316,51245300,0.016525415282266254,178.10017318725585,171.25025970458984,1,0.016525415282266254,1.0363883315448208,0.9515598991155731
2023-06-23,184.09909057617188,184.96692915011988,182.45218058994394,182.9847233686237,53117000,-0.001711181858973454,178.83191604614257,171.77887176513673,1,-0.001711181858973454,1.0346148826330295,0.94993160707848
2023-06-26,182.70858764648438,185.45015206010262,182.66913223239737,184.2470177435845,48088700,-0.007553013571852341,179.43742752075195,172.17213287353516,1,-0.007553013571852341,1.0268004223828617,0.9427567607578847
2023-06-27,185.4600067138672,185.78544616190248,183.10304984582174,183.32000947784528,50730800,0.015059057173089307,180.06019821166993,172.6273159790039,1,0.015059057173089307,1.0422630686488774,0.9569537887184542
2023-06-28,186.633544921875,187.27455239917202,185.00636283468697,185.33178721386028,51216800,0.006327715763638331,180.6494384765625,173.10557525634766,1,0.006327715763638331,1.048858213098225,0.9630091202924014
2023-06-29,186.96885681152344,187.44223149955704,186.3278492789131,186.46591313429835,46347300,0.0017966324852738413,181.25790939331054,173.56611694335936,1,0.0017966324852738413,1.0507426258363235,0.9647392937615337
2023-06-30,191.2882843017578,191.79122791985353,188.6157445714927,188.98063939826477,85213200,0.023102390226350078,181.94231643676758,174.0902005004883,1,0.023102390226350078,1.075017292005854,0.987027077392706
2023-07-03,189.79917907714844,191.19954526937022,189.10884478636748,191.10092178559267,31458200,-0.007784612790296741,182.50986099243164,174.6038040161133,1,-0.007784612790296741,1.066648698644715,0.9793434537816655
2023-07-05,188.684814453125,190.31199675191496,187.98462376800288,188.92150180749704,46920300,-0.005871282633790886,183.08923797607423,175.12722473144532,1,-0.005871282633790886,1.0603861026640067,0.9735934515689605
2023-07-06,189.15814208984375,189.36524537083605,186.5842258571581,187.2153769807983,45094300,0.0025085624303715637,183.71052627563478,175.6540069580078,1,0.0025085624303715637,1.0630461474028376,0.9760357715240222
